record_id,record_description,st_template_version,st_panel_code,tumor,dose,schedule,st_passage,transplant_date,treatment_date,treatment_end_date,technician,study_end_date,group,dataset,dataset_date,day,mouse,diameter_x,diameter_y,unexpect_event,event_comment,reason,status,weight,cage_a_wt,cage_b_wt,solid_tumor_data_complete,record_complete,redcap_event_name
1816-OS1-1-A0-A1,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 1,12/21/2020,0,A1,5.93,5.24,,,,,19,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A0-A2,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 1,12/21/2020,0,A2,6.72,5.23,,,,,19,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A0-A3,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 1,12/21/2020,0,A3,5.98,5.66,,,,,18,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A0-A4,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 1,12/21/2020,0,A4,5.21,5.15,,,,,17,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A0-A5,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 1,12/21/2020,0,A5,5.42,5.16,,,,,17,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A0-B1,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 1,12/21/2020,0,B1,5.44,5.25,,,,,17,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A0-B2,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 1,12/21/2020,0,B2,6.18,5.88,,,,,19,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A0-B3,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 1,12/21/2020,0,B3,6.18,5.92,,,,,17,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A0-B4,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 1,12/21/2020,0,B4,5.58,5.18,,,,,18,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A0-B5,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 1,12/21/2020,0,B5,5.19,5.08,,,,,17,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A7-A1,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 2,12/28/2020,7,A1,6.92,6.41,,,,,19,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A7-A2,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 2,12/28/2020,7,A2,8.12,5.97,,,,,19,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A7-A3,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 2,12/28/2020,7,A3,7.61,7.06,,,,,18,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A7-A4,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 2,12/28/2020,7,A4,6.41,6.12,,,,,17,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A7-A5,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 2,12/28/2020,7,A5,6.56,6.21,,,,,17,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A7-B1,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 2,12/28/2020,7,B1,7.06,6.52,,,,,17,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A7-B2,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 2,12/28/2020,7,B2,7.23,6.87,,,,,19,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A7-B3,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 2,12/28/2020,7,B3,7.92,7.68,,,,,17,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A7-B4,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 2,12/28/2020,7,B4,6.19,5.67,,,,,18,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A7-B5,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 2,12/28/2020,7,B5,5.42,5.27,,,,,17,90,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A14-A1,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 3,1/4/2021,14,A1,7.82,7.36,,,,,19,90,89,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A14-A2,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 3,1/4/2021,14,A2,10.81,7.55,,,,,19,90,89,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A14-A3,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 3,1/4/2021,14,A3,9.63,8.71,,,,,18,90,89,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A14-A4,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 3,1/4/2021,14,A4,7.47,7.25,,,,,17,90,89,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A14-A5,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 3,1/4/2021,14,A5,7.45,7.23,,,,,17,90,89,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A14-B1,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 3,1/4/2021,14,B1,7.42,6.64,,,,,17,90,89,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A14-B2,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 3,1/4/2021,14,B2,8.45,8.02,,,,,19,90,89,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A14-B3,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 3,1/4/2021,14,B3,8.74,8.35,,,,,17,90,89,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A14-B4,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 3,1/4/2021,14,B4,6.92,6.72,,,,,18,90,89,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A14-B5,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 3,1/4/2021,14,B5,6.38,6.27,,,,,18,90,89,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A21-A1,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 4,1/11/2021,21,A1,8.11,7.95,,,,,18,89,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A21-A2,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 4,1/11/2021,21,A2,11.67,8.21,,,,,19,89,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A21-A3,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 4,1/11/2021,21,A3,10.56,10.13,,,,,18,89,88,2,2,sarcoma_and_renal_arm_6
1816-OS1-1-A21-A4,Data - Solid Tumor ,Version 1.4,1816-OS1-1,OS1,5ml/kg,Day 0 x1,23,11/18/2020,12/21/2020,12/21/2020,zhang,3/1/2021,A,Time point 4,1/11/2021,21,A4,8.59,8.51,,,,,17,89,88,2,2,sarcoma_and_renal_arm_6
