record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_bleed,cd45,code,footnote,death_date,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-4-1-c-204-52-4,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-4","7/23/2019","24.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-211-52-4,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-4","7/30/2019","49.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-204-52-5,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-5","7/23/2019","12","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-211-52-5,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-5","7/30/2019","38.5","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-204-52-6,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-6","7/23/2019","20.6","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-211-52-6,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-6","7/30/2019","34.6","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-204-53-1,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-1","7/23/2019","12.3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-211-53-1,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-1","7/30/2019","34.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-204-53-2,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-2","7/23/2019","16.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-211-53-2,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-2","7/30/2019","43.5","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-204-53-5,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-5","7/23/2019","17.7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-211-53-5,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-5","7/30/2019","24.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-218-53-5,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-5","8/6/2019","64.3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-204-53-6,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-6","7/23/2019","12.7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-c-211-53-6,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-6","7/30/2019","26","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-t-204-54-1,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-1","7/23/2019","21.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-t-211-54-1,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-1","7/30/2019","29.7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-t-204-54-2,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-2","7/23/2019","20.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-t-211-54-2,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-2","7/30/2019","42.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-t-204-54-3,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-3","7/23/2019","14.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-t-211-54-3,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-3","7/30/2019","37.7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-t-204-54-4,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-4","7/23/2019","14.7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-t-211-54-4,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-4","7/30/2019","21","0","","","7","0","0","7","2",all_arm_7
1806-ALL-4-1-t-218-54-4,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-4","8/6/2019","54.6","0","","","7","0","0","7","2",all_arm_7
