record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_weight,all_weight,code,footnote,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-25-1-c-186-3-1-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-1","7/5/2019","24.7","","","","","","","2",all_arm_7
1806-ALL-25-1-c-193-3-1-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-1","7/12/2019","26","","","","","","","2",all_arm_7
1806-ALL-25-1-c-200-3-1-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-1","7/19/2019","26","","","","","","","2",all_arm_7
1806-ALL-25-1-c-186-3-2-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-2","7/5/2019","22.7","","","","","","","2",all_arm_7
1806-ALL-25-1-c-193-3-2-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-2","7/12/2019","22.4","","","","","","","2",all_arm_7
1806-ALL-25-1-c-186-3-3-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-3","7/5/2019","24.6","","","","","","","2",all_arm_7
1806-ALL-25-1-c-193-3-3-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-3","7/12/2019","24","","","","","","","2",all_arm_7
1806-ALL-25-1-c-200-3-3-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-3","7/19/2019","25.7","","","","","","","2",all_arm_7
1806-ALL-25-1-c-186-3-4-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-4","7/5/2019","22.1","","","","","","","2",all_arm_7
1806-ALL-25-1-c-193-3-4-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-4","7/12/2019","22.6","","","","","","","2",all_arm_7
1806-ALL-25-1-c-200-3-4-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-4","7/19/2019","24.3","","","","","","","2",all_arm_7
1806-ALL-25-1-c-186-3-5-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-5","7/5/2019","26.6","","","","","","","2",all_arm_7
1806-ALL-25-1-c-193-3-5-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-5","7/12/2019","25.3","","","","","","","2",all_arm_7
1806-ALL-25-1-c-200-3-5-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 3-5","7/19/2019","26.8","","","","","","","2",all_arm_7
1806-ALL-25-1-c-186-4-3-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 4-3","7/5/2019","22.3","","","","","","","2",all_arm_7
1806-ALL-25-1-c-193-4-3-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 4-3","7/12/2019","23.9","","","","","","","2",all_arm_7
1806-ALL-25-1-c-186-4-4-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 4-4","7/5/2019","19.5","","","","","","","2",all_arm_7
1806-ALL-25-1-c-193-4-4-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Control (A)","Vehicle"," 4-4","7/12/2019","20.5","","","","","","","2",all_arm_7
1806-ALL-25-1-t-186-14-1-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-1","7/5/2019","21.6","","","","","","","2",all_arm_7
1806-ALL-25-1-t-193-14-1-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-1","7/12/2019","22.2","","","","","","","2",all_arm_7
1806-ALL-25-1-t-186-14-2-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-2","7/5/2019","19","","","","","","","2",all_arm_7
1806-ALL-25-1-t-193-14-2-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-2","7/12/2019","20.2","","","","","","","2",all_arm_7
1806-ALL-25-1-t-186-14-3-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-3","7/5/2019","24.5","","","","","","","2",all_arm_7
1806-ALL-25-1-t-193-14-3-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-3","7/12/2019","25.7","","","","","","","2",all_arm_7
1806-ALL-25-1-t-186-14-4-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-4","7/5/2019","25","","","","","","","2",all_arm_7
1806-ALL-25-1-t-193-14-4-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-4","7/12/2019","25.9","","","","","","","2",all_arm_7
1806-ALL-25-1-t-200-14-4-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-4","7/19/2019","25.2","","","","","","","2",all_arm_7
1806-ALL-25-1-t-186-14-5-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-5","7/5/2019","19.6","","","","","","","2",all_arm_7
1806-ALL-25-1-t-193-14-5-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 14-5","7/12/2019","19.9","","","","","","","2",all_arm_7
1806-ALL-25-1-t-186-15-5-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 15-5","7/5/2019","19.9","","","","","","","2",all_arm_7
1806-ALL-25-1-t-193-15-5-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 15-5","7/12/2019","20.4","","","","","","","2",all_arm_7
1806-ALL-25-1-t-186-15-6-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 15-6","7/5/2019","22.9","","","","","","","2",all_arm_7
1806-ALL-25-1-t-193-15-6-weight,"Data - ALL","1806-ALL-25-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/8/2019","7/22/2019","6/20/2019","ALL-25","189","Treatment (B)","1806"," 15-6","7/12/2019","23","","","","","","","2",all_arm_7
