record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_bleed,cd45,code,footnote,death_date,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-7-1-c-183-2-1,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-1","7/2/2019","4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-190-2-1,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-1","7/9/2019","22.3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-197-2-1,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-1","7/16/2019","48.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-183-2-2,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-2","7/2/2019","4.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-190-2-2,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-2","7/9/2019","29.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-183-2-3,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-3","7/2/2019","4.5","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-190-2-3,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-3","7/9/2019","29","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-183-2-4,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-4","7/2/2019","1.8","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-190-2-4,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-4","7/9/2019","24.7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-197-2-4,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-4","7/16/2019","32.8","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-183-2-5,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-5","7/2/2019","3.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-190-2-5,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-5","7/9/2019","23.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-197-2-5,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 2-5","7/16/2019","52.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-183-4-1,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 4-1","7/2/2019","4.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-190-4-1,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 4-1","7/9/2019","21.6","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-197-4-1,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 4-1","7/16/2019","59.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-183-4-2,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 4-2","7/2/2019","5.3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-c-190-4-2,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Control (A)","Vehicle"," 4-2","7/9/2019","25.3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-t-183-13-2,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Treatment (B)","1806"," 13-2","7/2/2019","1.3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-7-1-t-190-13-2,"Data - ALL","1806-ALL-7-1","1806","5 mg/kg","once a week x 3","6/12/2019","7/2/2019","7/16/2019","6/20/2019","ALL-7","183","Treatment (B)","1806"," 13-2","7/9/2019","17.8","0","","","7","0","0","7","2",all_arm_7
