record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_weight,all_weight,code,footnote,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-82-1-c-179-6-2-weight,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-2","6/28/2019","23.5","","","","","","","2",all_arm_7
1806-ALL-82-1-c-186-6-2-weight,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-2","7/5/2019","22.4","","","","","","","2",all_arm_7
1806-ALL-82-1-c-193-6-2-weight,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-2","7/12/2019","22.9","","","","","","","2",all_arm_7
1806-ALL-82-1-c-200-6-2-weight,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-2","7/19/2019","24.1","","","","","","","2",all_arm_7
1806-ALL-82-1-c-179-6-3-weight,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-3","6/28/2019","22","","","","","","","2",all_arm_7
1806-ALL-82-1-c-186-6-3-weight,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-3","7/5/2019","21.6","","","","","","","2",all_arm_7
1806-ALL-82-1-c-193-6-3-weight,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-3","7/12/2019","23.5","","","","","","","2",all_arm_7
1806-ALL-82-1-c-200-6-3-weight,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-3","7/19/2019","23.9","","","","","","","2",all_arm_7
1806-ALL-82-1-c-179-6-4-weight,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-4","6/28/2019","25.3","","","","","","","2",all_arm_7
1806-ALL-82-1-c-186-6-4-weight,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-4","7/5/2019","24.4","","","","","","","2",all_arm_7
