record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_weight,all_weight,code,footnote,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-4-1-c-200-52-4-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-4","7/19/2019","22","","","","","","","2",all_arm_7
1806-ALL-4-1-c-207-52-4-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-4","7/26/2019","22.8","","","","","","","2",all_arm_7
1806-ALL-4-1-c-200-52-5-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-5","7/19/2019","26.3","","","","","","","2",all_arm_7
1806-ALL-4-1-c-207-52-5-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-5","7/26/2019","27.5","","","","","","","2",all_arm_7
1806-ALL-4-1-c-200-52-6-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-6","7/19/2019","22.4","","","","","","","2",all_arm_7
1806-ALL-4-1-c-207-52-6-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 52-6","7/26/2019","23.3","","","","","","","2",all_arm_7
1806-ALL-4-1-c-200-53-1-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-1","7/19/2019","26.4","","","","","","","2",all_arm_7
1806-ALL-4-1-c-207-53-1-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-1","7/26/2019","26.8","","","","","","","2",all_arm_7
1806-ALL-4-1-c-214-53-1-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-1","8/2/2019","26.8","","","","","","","2",all_arm_7
1806-ALL-4-1-c-200-53-2-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-2","7/19/2019","22.7","","","","","","","2",all_arm_7
1806-ALL-4-1-c-207-53-2-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-2","7/26/2019","22.6","","","","","","","2",all_arm_7
1806-ALL-4-1-c-214-53-2-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-2","8/2/2019","23.4","","","","","","","2",all_arm_7
1806-ALL-4-1-c-200-53-5-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-5","7/19/2019","21","","","","","","","2",all_arm_7
1806-ALL-4-1-c-207-53-5-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-5","7/26/2019","21.9","","","","","","","2",all_arm_7
1806-ALL-4-1-c-214-53-5-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-5","8/2/2019","23.3","","","","","","","2",all_arm_7
1806-ALL-4-1-c-200-53-6-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-6","7/19/2019","22.8","","","","","","","2",all_arm_7
1806-ALL-4-1-c-207-53-6-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-6","7/26/2019","23","","","","","","","2",all_arm_7
1806-ALL-4-1-c-214-53-6-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Control (A)","Vehicle"," 53-6","8/2/2019","24.2","","","","","","","2",all_arm_7
1806-ALL-4-1-t-200-54-1-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-1","7/19/2019","24.4","","","","","","","2",all_arm_7
1806-ALL-4-1-t-207-54-1-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-1","7/26/2019","25.8","","","","","","","2",all_arm_7
1806-ALL-4-1-t-200-54-2-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-2","7/19/2019","23.7","","","","","","","2",all_arm_7
1806-ALL-4-1-t-207-54-2-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-2","7/26/2019","23.7","","","","","","","2",all_arm_7
1806-ALL-4-1-t-200-54-3-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-3","7/19/2019","25.8","","","","","","","2",all_arm_7
1806-ALL-4-1-t-207-54-3-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-3","7/26/2019","24.6","","","","","","","2",all_arm_7
1806-ALL-4-1-t-200-54-4-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-4","7/19/2019","24.6","","","","","","","2",all_arm_7
1806-ALL-4-1-t-207-54-4-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-4","7/26/2019","23.7","","","","","","","2",all_arm_7
1806-ALL-4-1-t-214-54-4-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 54-4","8/2/2019","24.1","","","","","","","2",all_arm_7
1806-ALL-4-1-t-200-55-3-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 55-3","7/19/2019","22.3","","","","","","","2",all_arm_7
1806-ALL-4-1-t-207-55-3-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 55-3","7/26/2019","23.6","","","","","","","2",all_arm_7
1806-ALL-4-1-t-200-55-5-weight,"Data - ALL","1806-ALL-4-1","1806","5 mg/kg","once a week x 3","7/1/2019","7/23/2019","8/6/2019","7/10/2019","ALL-4","204","Treatment (B)","1806"," 55-5","7/19/2019","28.2","","","","","","","2",all_arm_7
