record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_weight,all_weight,code,footnote,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-83-1-c-228-7-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-1","8/16/2019","27.9","","","","","","","2",all_arm_7
1806-ALL-83-1-c-235-7-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-1","8/23/2019","27.5","","","","","","","2",all_arm_7
1806-ALL-83-1-c-242-7-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-1","8/30/2019","27.6","","","","","","","2",all_arm_7
1806-ALL-83-1-c-249-7-1-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-1","9/6/2019","26","","","","","","","2",all_arm_7
1806-ALL-83-1-c-228-7-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-2","8/16/2019","28","","","","","","","2",all_arm_7
1806-ALL-83-1-c-235-7-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-2","8/23/2019","28.1","","","","","","","2",all_arm_7
1806-ALL-83-1-c-242-7-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-2","8/30/2019","28","","","","","","","2",all_arm_7
1806-ALL-83-1-c-249-7-2-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-2","9/6/2019","28.1","","","","","","","2",all_arm_7
1806-ALL-83-1-c-228-7-3-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-3","8/16/2019","24.4","","","","","","","2",all_arm_7
1806-ALL-83-1-c-235-7-3-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-3","8/23/2019","25.6","","","","","","","2",all_arm_7
1806-ALL-83-1-c-242-7-3-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-3","8/30/2019","26.3","","","","","","","2",all_arm_7
1806-ALL-83-1-c-249-7-3-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-3","9/6/2019","26","","","","","","","2",all_arm_7
1806-ALL-83-1-c-228-7-4-weight,"Data - ALL","1806-ALL-83-1","1806","5 mg/kg","once a week x 3","5/21/2019","8/21/2019","9/4/2019","6/20/2019","ALL-83","233","Control (A)","Vehicle"," 7-4","8/16/2019","27.6","","","","","","","2",all_arm_7
