record_id,record_description,panel_code,testing,all_dose,all_schedule,date_of_innoculation,date_of_first_treatment,date_of_treatment_completion,date_of_randomization,description,day_0,arm,arm_testing, all_mouse,date_of_bleed,cd45,code,footnote,death_date,n,summary_thydym,summary_toxic,summary_evaluable,all_data_complete,redcap_event_name
1806-ALL-82-1-c-183-6-2,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-2","7/2/2019","2.8","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-190-6-2,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-2","7/9/2019","11.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-197-6-2,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-2","7/16/2019","20.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-204-6-2,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-2","7/23/2019","53","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-183-6-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-3","7/2/2019","3.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-190-6-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-3","7/9/2019","7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-197-6-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-3","7/16/2019","17.3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-204-6-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-3","7/23/2019","51.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-183-6-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-4","7/2/2019","3.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-190-6-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-4","7/9/2019","8","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-197-6-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-4","7/16/2019","16.7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-204-6-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-4","7/23/2019","55","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-183-6-5,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-5","7/2/2019","3.6","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-190-6-5,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-5","7/9/2019","9.7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-197-6-5,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-5","7/16/2019","16.3","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-204-6-5,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-5","7/23/2019","55.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-183-6-6,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-6","7/2/2019","2.7","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-190-6-6,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-6","7/9/2019","6.1","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-197-6-6,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-6","7/16/2019","16.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-204-6-6,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 6-6","7/23/2019","50.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-183-8-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 8-3","7/2/2019","1.5","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-190-8-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 8-3","7/9/2019","5.4","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-197-8-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 8-3","7/16/2019","22.8","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-204-8-3,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 8-3","7/23/2019","51.9","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-183-8-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 8-4","7/2/2019","5.2","0","","","7","0","0","7","2",all_arm_7
1806-ALL-82-1-c-190-8-4,"Data - ALL","1806-ALL-82-1","1806","5 mg/kg","once a week x 3","5/28/2019","7/2/2019","7/16/2019","6/20/2019","ALL-82","183","Control (A)","Vehicle"," 8-4","7/9/2019","5","0","","","7","0","0","7","2",all_arm_7
